,School,Rating,Rating Count,Public_or_Private
0,University of Wyoming,3.7262422360248446,3091,public
1,University of Wisconsin - Madison,3.785535506402786,47657,public
2,West Virginia University,3.805346062052509,23026,public
3,University of Washington,3.7844318181818055,41845,public
4,George Mason University,3.7777482631793915,74811,public
5,University of Vermont,3.7076077768385494,17457,public
6,Brigham Young University,4.026192893400995,85179,public
7,Texas A&M University at College Station,3.7180528052805197,31903,public
8,University of Tennessee - Knoxville,3.758922454064147,38817,public
9,South Dakota State University,3.655381944444443,4917,public
10,University of South Carolina,3.803050430504287,59665,public
11,University of Rhode Island,3.6981828506530374,24351,public
12,Pennsylvania State University,3.6924975124378006,65250,public
13,Portland State University,3.684161721068258,32920,public
14,University of Oklahoma,3.751910569105684,19796,public
15,The Ohio State University,3.792000706339385,65355,public
16,University of North Dakota,3.644255319148941,9539,public
17,North Carolina State University,3.7066341066341075,21797,public
18,University at Buffalo (SUNY Buffalo),3.716457100591714,34161,public
19,University of Alabama,3.883830633702741,46667,public
20,University of Alaska Anchorage,3.815542521994136,16029,public
21,Arizona State University,3.6834564682022073,113095,public
22,University of Arkansas,3.7629670329670213,33118,public
23,University of California Los Angeles (UCLA),3.759124087591243,4437,public
24,University of Colorado - Boulder,3.659779179810723,17901,public
25,University of Connecticut,3.648708635996771,25491,public
26,University of Delaware,3.697480916030534,55942,public
27,University of Central Florida,3.7550598732096647,105495,public
28,University of Georgia,3.85635251598553,43832,public
29,University of Hawaii at Manoa,3.850891089108905,26518,public
30,Boise State University,3.7488683127572053,23045,public
31,University Of Illinois at Urbana - Champaign,3.669186573934075,31040,public
32,Indiana University Bloomington,3.7275304716481132,32709,public
33,University of Iowa,3.6933509467195087,21306,public
34,University of Kansas,3.7398687765341534,25562,public
35,University of Kentucky,3.770909090909082,26467,public
36,Louisiana State University,3.68745231030098,23579,public
37,University of Maine,3.709471585244266,14752,public
38,University of Maryland,3.662490594431903,18985,public
39,University of Massachusetts,3.677341816896436,41703,public
40,Michigan State University,3.633106856084002,9592,public
41,University of Minnesota-Twin Cities,3.6989543077972185,49263,public
42,Mississippi State University,3.5714836223506765,5902,public
43,University of Missouri - Columbia,3.666450324513229,17694,public
44,Montana State University,3.6969536423841047,4612,public
45,University of Nebraska-Lincoln,3.6337487537387876,16066,public
46,University of Nevada Las Vegas,3.866900584795306,51608,public
47,University of New Hampshire (all campuses),3.692107023411374,14968,public
48,Rutgers - State University of New Jersey,3.7663812436289223,71220,public
49,University of New Mexico,3.7695156695156595,28481,public
