,School,Professor,Department,Rating,Rating Count
0,Pennsylvania State University,Aalberts Robert,Law,3.5,15
1,Pennsylvania State University,Aas Erik,Mathematics,2.3,3
2,Pennsylvania State University,Abaci Uygar,Philosophy,4.3,11
3,Pennsylvania State University,Abalo Kodzovi,Economics,2.8,6
4,Pennsylvania State University,Abar Caitlin,Human Development,4.7,3
5,Pennsylvania State University,Abbaas Omar,Industrial Engineering,3.6,12
6,Pennsylvania State University,Abdullah Amir,Theater,4.0,1
7,Pennsylvania State University,Abdullah Ayesha,Philosophy,3.6,6
8,Pennsylvania State University,Abdullah Gary,Communication,5.0,2
9,Pennsylvania State University,Abel Jessamyn,History,4.0,9
10,Pennsylvania State University,Abel Jonathan,Literature,3.8,17
11,Pennsylvania State University,Abelbeck Hannah,English,2.5,7
12,Pennsylvania State University,Abler David,Economics,2.5,9
13,Pennsylvania State University,Aboulafia Mitchell,Philosophy,4.4,11
14,Pennsylvania State University,Abrams Marc,Earth Science,4.3,12
15,Pennsylvania State University,Abrokwaa Clemente,Women's Studies,3.2,73
16,Pennsylvania State University,Acharya Raj,Computer Science,3.0,3
17,Pennsylvania State University,Achord Samuel,Mathematics,5.0,12
18,Pennsylvania State University,Acimovic Jason,Business,4.2,23
19,Pennsylvania State University,Adair James,Materials Engineering,3.1,9
20,Pennsylvania State University,Adams Matthew,Classics,4.3,15
21,Pennsylvania State University,Adams Tommy,Communication,3.1,11
22,Pennsylvania State University,Adams Heather,English,4.8,3
23,Pennsylvania State University,Adams Sarah,English,4.5,2
24,Pennsylvania State University,Adams J.,Mathematics,4.0,1
25,Pennsylvania State University,Adams Katherine,Psychology,1.0,2
26,Pennsylvania State University,Adams Cynthia,Nutrition,3.4,7
27,Pennsylvania State University,Adams Jeremy,Philosophy,2.3,3
28,Pennsylvania State University,Adams Reginald,Psychology,3.7,18
29,Pennsylvania State University,Adams Katharine,Psychology,1.0,1
30,Pennsylvania State University,Ader David,Sociology,4.8,5
31,Pennsylvania State University,Ades Sarah,Biological Sciences,3.5,9
32,Pennsylvania State University,Adler Eliyana,Jewish Studies,2.2,13
33,Pennsylvania State University,Adnet Gauthier,French,5.0,2
34,Pennsylvania State University,Aeschbacher Peter,Architecture,4.4,13
35,Pennsylvania State University,Affleck John,Communication,5.0,2
36,Pennsylvania State University,Aggleton Sabrina,Philosophy,2.4,4
37,Pennsylvania State University,Aggleton Derek,Philosophy,3.5,21
38,Pennsylvania State University,Aggon Norman,Business,3.5,74
39,Pennsylvania State University,Agil Rania,Food Science,3.7,6
40,Pennsylvania State University,Agler David,Philosophy,4.5,24
41,Pennsylvania State University,Agnosteva Delina,Economics,3.8,4
42,Pennsylvania State University,Agrawal Dinesh,Engineering,3.4,3
43,Pennsylvania State University,Aguilo-Perez Emily,English,4.7,3
44,Pennsylvania State University,Ahern Frank,Biological Sciences,3.8,16
45,Pennsylvania State University,Ahern Lee,Communication,3.6,35
46,Pennsylvania State University,Ahlgren Mike,Hotel & Restaurant Management,4.3,8
47,Pennsylvania State University,Ahlin Eileen,Criminal Justice,4.0,1
48,Pennsylvania State University,Ahlkvist Jarl,Not Specified,2.5,32
49,Pennsylvania State University,Ahmad Lameese,Arabic,5.0,2
50,Pennsylvania State University,Aigbedion Irenae,Comparative Literature,5.0,1
51,Pennsylvania State University,Aileo Nathan,Information Science,4.4,5
52,Pennsylvania State University,Akech Daniel,Mathematics,3.0,2
53,Pennsylvania State University,Akgun Mahir,Information Sciences  Technology,1.2,18
54,Pennsylvania State University,Akin Zafer,Economics,3.1,5
55,Pennsylvania State University,Akritas Michael,Mathematics,2.2,37
56,Pennsylvania State University,Aksoy Deniz,Political Science,3.7,12
57,Pennsylvania State University,Al Ariss Akram,Labor  Employment Relations,3.7,4
58,Pennsylvania State University,Al-gharaib Meshal,Earth Science,3.8,17
59,Pennsylvania State University,Alansari Nawaf,Mathematics,4.2,6
60,Pennsylvania State University,Albert Reka,Physics,5.0,2
61,Pennsylvania State University,Albert Jana,German,4.7,3
62,Pennsylvania State University,Albert Istvan,Biochemistry,3.7,6
63,Pennsylvania State University,Alderman Robert,English,4.5,13
64,Pennsylvania State University,Alderman Christine,English,5.0,1
65,Pennsylvania State University,Alessandri Mary,Philosophy,3.9,8
66,Pennsylvania State University,Alexander Stephon,Physics,3.1,5
67,Pennsylvania State University,Alexander Lacy,Kinesiology,4.8,2
68,Pennsylvania State University,Alexander Angela,History,2.0,3
69,Pennsylvania State University,Alfaro Urena Alonso,Economics,2.8,3
70,Pennsylvania State University,Ali Rahan,Psychology,4.4,144
71,Pennsylvania State University,Ali Nageeb,Economics,1.8,2
72,Pennsylvania State University,Alipour Kent,Psychology,5.0,2
73,Pennsylvania State University,Allara David,Chemistry,2.6,5
74,Pennsylvania State University,Allcock Harry,Chemistry,3.5,2
75,Pennsylvania State University,Allen Doug,Labor & Employment Relations,2.7,14
76,Pennsylvania State University,Allen Douglas,Labor & Employment Relations,1.0,1
77,Pennsylvania State University,Allen Patrick,English,4.5,20
78,Pennsylvania State University,Allen  Doug ,Labor  Employment Relations,4.5,1
79,Pennsylvania State University,Alley Michael,Communication,4.7,16
80,Pennsylvania State University,Alley Richard,Geology,4.3,75
81,Pennsylvania State University,Alloway Kevin,Biological Sciences,3.0,4
82,Pennsylvania State University,Almeida David,Human Development,4.2,28
83,Pennsylvania State University,Almekkawy Mohamed,Computer Science,4.1,26
84,Pennsylvania State University,Aloia Lindsey,Communication,4.7,16
85,Pennsylvania State University,Alptekinoglu Aydin,Supply Chain Management,5.0,1
86,Pennsylvania State University,Alrawi Noora ,Arabic,2.8,2
87,Pennsylvania State University,Alter Theodore,Economics,3.8,8
88,Pennsylvania State University,Altman Naomi,Statistics,1.9,9
89,Pennsylvania State University,Alumasa John,Biochemistry,5.0,1
90,Pennsylvania State University,Alvarez Jose,Spanish,3.9,6
91,Pennsylvania State University,Alvis-Ruiz Erin,Spanish,3.5,22
92,Pennsylvania State University,Alvis-Ruiz Carlos,Spanish,4.2,19
93,Pennsylvania State University,Alwin Duane,Sociology,3.0,2
94,Pennsylvania State University,Aly Reham,Arabic,5.0,3
95,Pennsylvania State University,Amano Yuki,Japanese,4.3,9
96,Pennsylvania State University,Amato Paul,Sociology,5.0,1
97,Pennsylvania State University,Amburgy Patricia,Fine Arts,4.8,7
98,Pennsylvania State University,Ammon Charles,Earth Science,3.4,14
99,Pennsylvania State University,Amory Michael,French,5.0,1
100,Pennsylvania State University,Amsden Brian,Communication,4.5,1
101,Pennsylvania State University,Anandakrishnan Sridhar,Geology,3.3,23
102,Pennsylvania State University,Ancic Ivana,Comparative Literature,5.0,3
103,Pennsylvania State University,Anders Abram,English,3.6,7
104,Pennsylvania State University,Andersen Carl,English,4.3,17
105,Pennsylvania State University,Anderson Joel,Mathematics,3.5,34
106,Pennsylvania State University,Anderson Claudia,Education,4.1,16
107,Pennsylvania State University,Anderson Martha,Physical Ed,4.0,19
108,Pennsylvania State University,Anderson Beth,Chemistry,5.0,5
109,Pennsylvania State University,Anderson Emily,English,4.8,2
110,Pennsylvania State University,Anderson Katherine,German,4.0,5
111,Pennsylvania State University,Anderson Rebecca,English,4.0,10
112,Pennsylvania State University,Anderson Brita,Communication Arts,1.9,8
113,Pennsylvania State University,Anderson Deborah,Labor & Employment Relations,5.0,1
114,Pennsylvania State University,Anderson Brittany,Chemistry,2.7,6
115,Pennsylvania State University,Anderson Drew,Geography,5.0,4
116,Pennsylvania State University,Anderson Randi,English,1.5,2
117,Pennsylvania State University,Anderson Carl,English,4.3,6
118,Pennsylvania State University,Andiappan Meena,Management,5.0,2
119,Pennsylvania State University,Andrejewski Robert,"Recreation, Parks, & Tourism",4.5,3
120,Pennsylvania State University,Andrew Benjamin,Art,2.2,4
121,Pennsylvania State University,Andrews Kim,English,4.9,8
122,Pennsylvania State University,Andrews J Scott,Communication,4.6,12
123,Pennsylvania State University,Andrews David,Labor  Employment Relations,5.0,1
124,Pennsylvania State University,Andrews George,Mathematics,4.7,12
125,Pennsylvania State University,Andreyo James,Communication,3.4,9
126,Pennsylvania State University,Andris Clio,Geography,4.0,19
127,Pennsylvania State University,Andrus Nancy,French,5.0,1
128,Pennsylvania State University,Aneckstein Dave,Communication,4.1,5
129,Pennsylvania State University,Anesko Michael,English,2.9,23
130,Pennsylvania State University,Anghelcev George,Communication,4.2,21
131,Pennsylvania State University,Anner Mark,Labor & Employment Relations,4.3,16
132,Pennsylvania State University,Anya Uju,Education,5.0,1
133,Pennsylvania State University,Anzman Steph,Human Development,4.3,2
134,Pennsylvania State University,Apfelbaum Joseph,Music,2.1,8
135,Pennsylvania State University,Appel Molly,English,1.9,7
136,Pennsylvania State University,Appelman Alyssa,Communication,3.4,5
137,Pennsylvania State University,Applegate Patrick,Earth Science,2.0,1
138,Pennsylvania State University,Aradillas-Lopez Andres,Economics,3.2,6
139,Pennsylvania State University,Archangeli Melanie,Spanish,4.4,17
140,Pennsylvania State University,Arguelles Andrea,"Engineering, Science, & Mechanics",5.0,3
141,Pennsylvania State University,Aristarkhova Irin,Women's Studies,4.0,5
142,Pennsylvania State University,Armaou Antonios,Chemical Engineering,2.5,10
143,Pennsylvania State University,Armas Alexandra,Spanish,4.1,4
144,Pennsylvania State University,Armillas-Tiseyra Magali,Comparative Literature,3.6,7
145,Pennsylvania State University,Armstrong Dan,Music,4.5,3
146,Pennsylvania State University,Arnold Steven,Mathematics,1.4,24
147,Pennsylvania State University,Arora Sonny,Mathematics,4.8,4
148,Pennsylvania State University,Arriagada Carlos,Spanish,3.5,2
