,0,1,2,3,4,5,6
0,group1,group2,meandiff,p-adj,lower,upper,reject
1,Accounting,Actuarial Science,-0.0211,0.9,-3.299,3.2569,False
2,Accounting,Aerospace Engineering,-0.1574,0.9,-1.3011,0.9862,False
3,Accounting,African-American Studies,0.2313,0.9,-0.9318,1.3945,False
4,Accounting,Africana Studies,0.1989,0.9,-1.9263,2.3242,False
5,Accounting,Agriculture,0.2888,0.9,-0.5895,1.167,False
6,Accounting,Animal Science,-0.0599,0.9,-1.2919,1.172,False
7,Accounting,Anthropology,-0.2015,0.9,-1.1046,0.7016,False
8,Accounting,Arabic,0.8789,0.9,-1.2463,3.0042,False
9,Accounting,Architectural Engineering,0.3789,0.9,-4.2173,4.9752,False
10,Accounting,Architecture,-0.0433,0.9,-1.1078,1.0212,False
11,Accounting,Art,-0.0125,0.9,-0.9103,0.8852,False
12,Accounting,Art Education,-0.1961,0.9,-1.9164,1.5242,False
13,Accounting,Art History,-0.0411,0.9,-0.9809,0.8988,False
14,Accounting,Astronomy,-0.1526,0.9,-1.1069,0.8016,False
15,Accounting,Behavioral Sciences,-0.0684,0.9,-1.0227,0.8858,False
16,Accounting,Biochemistry,-0.1903,0.9,-1.2686,0.888,False
17,Accounting,Bioethics,0.7789,0.9,-3.8173,5.3752,False
18,Accounting,Biological Sciences,-0.0867,0.9,-0.7913,0.618,False
19,Accounting,Biology,1.1789,0.9,-3.4173,5.7752,False
20,Accounting,Broadcasting,1.2789,0.9,-3.3173,5.8752,False
21,Accounting,Business,0.1492,0.9,-0.5933,0.8917,False
22,Accounting,Business Law,-0.6211,0.9,-5.2173,3.9752,False
23,Accounting,Chemical Engineering,-0.6291,0.9,-1.7221,0.464,False
24,Accounting,Chemistry,-0.0299,0.9,-0.8218,0.7619,False
25,Accounting,Chinese,0.1723,0.9,-1.15,1.4945,False
26,Accounting,Civil Engineering,0.3249,0.9,-0.6371,1.2868,False
27,Accounting,Classical  Medieval Studies,0.5789,0.9,-2.699,3.8569,False
28,Accounting,Classical & Medieval Studies,0.9789,0.9,-3.6173,5.5752,False
29,Accounting,Classical amp Medieval Studies,1.2289,0.9,-2.049,4.5069,False
30,Accounting,Classics,0.3727,0.9,-0.9164,1.6618,False
31,Accounting,Communication,0.295,0.9,-0.3756,0.9656,False
32,Accounting,Communication Arts,0.1529,0.9,-0.7299,1.0358,False
33,Accounting,Communication Disorders,0.0689,0.9,-0.9588,1.0967,False
34,Accounting,Comparative Literature,0.1304,0.9,-0.8481,1.1089,False
35,Accounting,Computer Science,-0.4821,0.9,-1.2455,0.2813,False
36,Accounting,Counseling,0.6789,0.9,-3.9173,5.2752,False
37,Accounting,Criminal Justice,0.3087,0.9,-0.6533,1.2706,False
38,Accounting,Curriculum  Instruction,0.7123,0.9,-1.9867,3.4113,False
39,Accounting,Curriculum & Instruction,0.5361,0.9,-1.2888,2.361,False
40,Accounting,Curriculum amp Instruction,0.1289,0.9,-3.149,3.4069,False
41,Accounting,Design,-1.0211,0.9,-4.299,2.2569,False
42,Accounting,Developmental Studies,0.1789,0.9,-3.099,3.4569,False
43,Accounting,Earth Science,-0.1387,0.9,-1.017,0.7396,False
44,Accounting,Economics,-0.417,0.9,-1.148,0.3141,False
45,Accounting,Ecosystem Science  Management,-0.6211,0.9,-5.2173,3.9752,False
46,Accounting,Ecosystem Science & Management,-0.7211,0.9,-5.3173,3.8752,False
47,Accounting,Education,0.1108,0.9,-0.6589,0.8805,False
48,Accounting,Electrical Engineering,-0.1627,0.9,-1.0553,0.7299,False
49,Accounting,Engineering,0.0727,0.9,-0.615,0.7604,False
50,Accounting,Engineering Science  Mechanics,0.1289,0.9,-1.8267,2.0846,False
51,Accounting,Engineering Science amp Mechanics,-0.3711,0.9,-2.7279,1.9858,False
52,Accounting,"Engineering, Science, & Mechanics",-0.0711,0.9,-2.4279,2.2858,False
